ID,Name,Seed,Deprecated,BPI Off,BPI Def,Record W,Record L,Conference W,Conference L,Vs Top 25 W,Vs Top 25 L,Last 10 W,Last 10 L,SOS Rank,SOR Rank,PPG,Opposing PPG,Field Goal Percentage,Three-Point Percentage,Free Throw Percentage
1,Auburn,1,,12.9,9.4,29,5,15,3,,,7,3,,,83.85,69.61,48.3,36.8,74
2,Alabama St,16,,-4.6,-2.1,20,16,12,6,,,9,1,,,73.34,72.11,40.6,32.9,68.9
3,Louisville,8,,6.6,7.4,27.5,7.5,18,2,,,9,1,,,78.59,68.91,45.4,33,74.4
4,Creighton,9,,7.7,6.8,24.5,10.5,15,5,,,6,4,,,75.24,69.53,47.5,33.9,73.3
5,Michigan,5,,6.2,7.6,25.7,9.3,14,6,,,,,,,,,,,
6,UC San Diego,12,,4.4,5.1,30.3,4.7,18,2,,,,,,,,,,,
7,Texas A&M,4,,6.6,9,22.8,10.2,11,7,,,,,,,,,,,
8,Yale,13,,5.2,2.9,22.2,7.8,13,1,,,,,,,,,,,
9,Ole Miss,6,,7.1,6.5,22.4,11.6,10,8,,,,,,,,,,,
10,North Carolina,11,,8.9,6.2,23.6,13.4,13,7,,,,,,,,,,,
11,Iowa State,3,,8.2,10.5,24.9,9.1,13,7,,,,,,,,,,,
12,Lipscomb,14,,2.4,1.4,25.1,9.9,14,4,,,,,,,,,,,
13,Marquette,7,,7.6,8.2,23.7,10.3,13,7,,,,,,,,,,,
14,New Mexico,10,,3.7,7,26.3,7.7,17,3,,,,,,,,,,,
15,Michigan St,2,,7.1,10.3,27.9,6.1,17,3,,,,,,,,,,,
16,Bryant,15,,-0.2,1.4,23.1,11.9,14,2,,,,,,,,,,,
17,Florida,1,,11.6,8.6,31,4,14,4,,,,,,,,,,,
18,Norfolk St,16,,-0.1,-0.9,24,11,11,3,,,,,,,,,,,
19,UConn,8,,10.6,5.8,23.7,10.3,14,6,,,,,,,,,,,
20,Oklahoma,9,,7.1,4.4,20.3,13.7,6,12,,,,,,,,,,,
21,Memphis,5,,4.9,6.4,29.5,5.5,16,2,,,,,,,,,,,
22,Colorado St,12,,5.2,5.3,25.5,9.5,16,4,,,,,,,,,,,
23,Maryland,4,,6.8,10.1,25.9,8.1,14,6,,,,,,,,,,,
24,Grand Canyon,13,,1.2,5,26.1,7.9,13,3,,,,,,,,,,,
25,Missouri,6,,9.4,4.1,22.7,11.3,10,8,,,,,,,,,,,
26,Drake,11,,2.6,5,30.3,3.7,17,3,,,,,,,,,,,
27,Texas Tech,3,,11.1,7.1,25.9,8.1,15,5,,,,,,,,,,,
28,UNC Wilmington,14,,3.7,-0.2,27.1,7.9,14,4,,,,,,,,,,,
29,Kansas,7,,7.5,9.4,21.7,12.3,11,9,,,,,,,,,,,
30,Arkansas,10,,4.4,7.2,20.3,13.7,8,10,,,,,,,,,,,
31,St John's,2,,5.6,11.4,31,4,18,2,,,,,,,,,,,
32,Omaha,15,,0.2,-3,22,13,13,3,,,,,,,,,,,
33,Duke,1,,13.6,11.1,31,3,19,1,,,,,,,,,,,
34,Mount St Marys,16,,-4.8,0.2,22.5,12.5,12,8,,,,,,,,,,,
35,Mississippi St,8,,7.3,5.9,21.4,12.6,8,10,,,,,,,,,,,
36,Baylor,9,,10,5.9,19.6,14.4,10,10,,,,,,,,,,,
37,Oregon,5,,6.4,6.8,24.8,9.2,12,8,,,,,,,,,,,
38,Liberty,12,,2.4,4.1,28.2,6.8,13,5,,,,,,,,,,,
39,Arizona,4,,10.3,7.9,22.9,12.1,14,6,,,,,,,,,,,
40,Akron,13,,2.8,0.4,28.1,6.9,17,1,,,,,,,,,,,
41,BYU,6,,9.3,5.7,24.6,9.4,14,6,,,,,,,,,,,
42,VCU,11,,5.5,7.8,28.4,6.6,15,3,,,,,,,,,,,
43,Wisconsin,3,,9,6.9,26.9,9.1,10,8,,,,,,,,,,,
44,Montana,14,,1.2,-2.3,25.1,9.9,15,3,,,,,,,,,,,
45,Saint Mary's,7,,5.1,8.6,28.7,5.3,17,1,,,,,,,,,,,
46,Vanderbilt,10,,6.3,3.6,20.3,12.7,8,10,,,,,,,,,,,
47,Alabama,2,,12.4,6.9,26,8,13,5,,,,,,,,,,,
48,Robert Morris,15,,-1.4,0.5,26,9,15,5,,,,,,,,,,,
49,Houston,1,,10.7,13.1,31,4,19,1,,,,,,,,,,,
50,SIUE,16,,-4.1,0.1,22,12,13,7,,,,,,,,,,,
51,Gonzaga,8,,10.8,7.1,25.7,8.3,14,4,,,,,,,,,,,
52,Georgia,9,,5.4,7.1,20.3,12.7,8,10,,,,,,,,,,,
53,Clemson,5,,8.2,8.2,27.8,6.2,18,2,,,,,,,,,,,
54,McNeese,12,,4.7,3.7,27.2,6.8,19,1,,,,,,,,,,,
55,Purdue,4,,10.4,5.3,22.8,11.2,13,7,,,,,,,,,,,
56,High Point,13,,7.2,-0.3,29.2,5.8,14,2,,,,,,,,,,,
57,Illinois,6,,9,6.3,21,12,12,8,,,,,,,,,,,
58,Texas,11,,7.6,5.7,19.5,15.5,6,12,,,,,,,,,,,
59,Kentucky,3,,10.4,5.7,22.9,11.1,10,8,,,,,,,,,,,
60,Troy,14,,-0.2,3.9,23.1,10.9,13,5,,,,,,,,,,,
61,UCLA,7,,6.5,8,22.6,10.4,13,7,,,,,,,,,,,
62,Utah State,10,,8.8,2.6,26.4,7.6,15,5,,,,,,,,,,,
63,Tennessee,2,,8.8,10.5,28,7,12,6,,,,,,,,,,,
64,Wofford,15,,2.8,-1.9,19,16,10,8,,,,,,,,,,,
